Taxa	PC1	PC2	PC3	PC4	PC5
33-16	1.0555375	2.5936437	0.38729563	-0.08455814	0.062792525
38-11	-0.75036645	2.433768	-0.4390754	2.1712618	-0.13650875
4226	-0.20767653	2.8201275	1.2139184	1.3116771	-1.1479242
4722	1.4045821	2.8363152	1.8586928	0.17944919	7.6698127
A188	0.41493613	2.6118038	0.22106548	0.67169785	1.3680799
A214N	-6.815236	-0.19789639	-10.6594095	-1.1196573	0.31483454
A239	-0.318121	2.8521397	0.3798916	2.6890523	-1.080917
A272	1.9956849	-1.3238634	1.180177	0.4231111	2.0999105
A441-5	2.5731168	0.19275567	0.47037792	1.0232112	0.50859904
A554	-0.23966295	2.4083405	0.70427185	3.0310352	-1.608995
A556	0.3505255	3.1222496	0.8567699	1.3549619	-1.793317
A6	5.184753	-5.109772	0.40313336	-0.22417937	0.04213463
A619	-0.11050791	7.7502484	2.7059538	3.0692906	-3.349702
A632	-9.576556	0.15094917	-13.382718	-1.907732	1.3999561
A634	-8.651057	-0.060019415	-12.304837	-1.816748	0.32352498
A635	-8.961621	0.43372706	-12.514237	-1.2817836	0.028169384
A641	-5.3838177	1.8463893	-8.65455	-1.2261506	0.094177015
A654	0.02447954	2.8264234	-0.1034954	3.9729342	-2.5667224
A659	-0.75105774	2.6053956	0.73037016	1.7009676	-0.6750952
A661	0.06252716	2.2729228	1.0734229	1.1485287	1.0208395
A679	-15.046243	-6.098013	6.0663977	-1.7297641	0.45135552
A680	-17.962086	-7.611745	6.1678977	-1.8535184	-0.03782918
A682	0.46854958	4.222338	0.2955876	-4.9301877	-2.4504974
AB28A	0.48732284	1.3405472	0.63562685	0.71913207	-0.8024523
B10	-7.556238	0.7129183	-3.5125916	2.1998746	-1.7794783
B103	-1.6779189	2.551692	-1.5021218	-0.5082878	-1.2333193
B104	-10.534541	-2.1170409	0.8191044	0.022959026	-0.548947
B105	-4.365438	0.18195046	0.37817132	1.844895	-0.095104024
B109	-14.958135	-6.292378	4.56677	-0.7661001	-0.20614754
B115	0.48968914	2.4742458	0.2373495	0.4524286	0.43109393
B14A	-12.331052	-0.38391992	-14.543637	-2.1288657	0.7232801
B164	-1.2597246	1.6424602	0.3040248	1.2127287	-1.0603212
B2	-1.885879	1.8128191	-0.7924624	1.9108973	-1.7568012
B37	-7.0709963	0.17531714	2.569485	2.8576796	-0.3830586
B46	-3.603043	3.4256241	-1.8524995	3.703385	-2.1338217
B52	-0.74177396	2.2845929	0.15973036	3.279815	-1.4318404
B57	-0.009217058	1.726117	0.8060937	1.8746661	0.17173538
B64	-7.23953	-0.42584917	-12.171246	-1.9670297	1.0095018
B68	-9.520438	0.08059381	-13.678674	-1.7118088	0.6284487
B73	-19.323452	-8.396292	6.5659566	-1.7850074	-0.10884586
B73HTRHM	-18.841892	-8.118513	6.2759175	-1.7047515	-0.023116374
B75	-0.47726482	3.1793087	0.5815488	0.23445559	-1.3034295
B76	-6.280392	0.29178792	2.6363468	2.8492866	-0.57318187
B77	0.74375427	1.870959	-0.77643275	-0.23566163	0.8209293
B79	-3.1478612	2.2004616	-1.9477105	1.8115503	-1.1522264
B84	-10.81106	-2.14275	0.4758873	-0.37382564	0.10351691
B97	-1.3500811	3.7490575	-0.73616344	1.2240583	-0.49217165
C103	2.2675698	5.7876134	2.1354501	-11.51996	-1.8206142
C123	1.3631413	4.78712	1.5972553	-8.562273	-0.8199088
C49A	0.3770263	2.2851005	-0.34087914	1.1928195	0.062226012
CH701-30	-1.1927758	2.4656057	-0.17704251	0.59538054	-0.054778107
CH9	0.68998	2.0412784	0.07766788	4.1701593	-3.2630093
CI7	0.35097614	2.6748667	0.97539246	0.16743085	0.051066305
CI187-2	2.2843795	1.0694225	0.60395646	1.800637	-1.5163362
CI21E	-2.8607974	0.18485932	-0.0811013	1.2515339	0.11404092
CI28A	-0.32406688	0.8409802	-0.41538107	1.2372998	-1.6085278
CI31A	0.42523178	2.0711763	1.25236	0.9072015	0.018946076
CI3A	0.028510444	1.8626916	-1.4163231	0.45063382	1.1773605
CI64	1.6002866	1.0273137	0.377183	1.1042306	1.1740443
CI66	1.8536803	0.8072426	0.47473082	0.6976293	1.0748158
CI90C	1.0490156	1.9406145	1.9392257	1.289203	-1.7884881
CI91B	-2.241255	1.2275698	0.26680562	0.77428746	-1.5441656
CM105	-9.489602	0.3268278	-10.006682	-0.6738493	0.44960606
CM174	-6.7393246	1.244791	-10.784265	-0.59080863	0.8669435
CM37	-0.92668384	4.335649	-0.84910566	1.2356637	3.5574675
CM7	-0.07975929	3.6183527	0.094292745	0.16545002	0.32398668
CML10	4.4949017	-3.8315673	0.20067385	0.7484219	-0.4241223
CML103	4.039409	-2.9576538	-0.08530159	-0.27424842	0.5454893
CML108	3.9610744	-3.9807296	-0.5316884	-0.42028236	-0.073584266
CML11	4.9839687	-4.6000967	0.16052273	0.39655	-0.8660617
CML14	4.326257	-4.399866	-0.5153319	-0.06898944	0.5338881
CML154Q	4.10318	-3.8346503	-0.5499205	-0.20656846	0.3310237
CML157Q	4.625558	-3.710404	-1.0426606	0.5411456	0.1711726
CML158Q	4.5832553	-3.7891228	-0.1220909	0.1497287	0.38857383
CML218	4.6965566	-3.3924582	-0.46964037	-0.41334406	-0.12468041
CML220	3.566349	-3.542128	-0.7428702	0.84098047	0.51320815
CML228	5.363631	-3.9629211	0.5843714	0.5814298	0.2563059
CML238	4.2232714	-4.8754525	0.19105071	0.11636921	0.30358267
CML247	4.0370455	-3.3787067	-0.08542112	-0.20877618	0.32356623
CML254	5.4755	-4.574774	-0.6675657	-0.72142494	-0.0012388079
CML258	5.4384813	-4.5533843	0.43273142	0.7636067	0.30170715
CML261	4.783193	-4.1351686	-0.54048604	0.2063577	-0.7366454
CML264	4.3804946	-4.316849	-1.5458269	-0.38262418	0.27895454
CML277	4.4393086	-4.338449	-0.8598258	2.052924	0.39193586
CML281	3.0710604	-2.6496725	-1.165741	-0.15917306	0.33506343
CML287	3.1728652	-4.146286	-1.6087424	1.4342407	0.8758268
CML311	4.255021	-3.739716	-1.1202326	0.3922752	1.0157748
CML314	4.73705	-4.5566807	-2.052229	-0.40250024	0.02744076
CML321	5.022903	-4.1659675	0.19897401	0.21836922	0.12394262
CML322	4.3819427	-4.492258	-1.7391355	1.2708839	0.090520516
CML323	2.5787508	-1.8992949	0.6768066	-0.87221444	1.9331259
CML328	3.747808	-1.8236378	-0.5142225	0.5075475	0.71871454
CML331	4.488262	-5.4518113	-1.6660566	0.80993354	0.6362907
CML332	4.6096897	-5.15905	-1.1004977	0.6984093	0.8222646
CML333	3.2154589	-2.854844	-0.7989681	-0.26490363	0.19353813
CML341	5.234878	-4.3365936	0.2540485	0.53172344	0.69229126
CML38	4.510038	-3.6784165	-1.4764537	0.61238825	-0.47622365
CML45	4.7850575	-3.679819	-0.6759088	0.44196135	0.96237016
CML5	5.0373397	-4.0906687	-1.1529278	0.6218909	-0.53205454
CML52	4.333174	-4.107832	0.6865257	0.58124435	-0.16802458
CML61	4.7947907	-3.557124	-0.7727454	0.83411855	-0.07722166
CML69	4.5855775	-4.6002173	-0.27218544	0.02710518	0.8442537
CML77	2.172258	-3.1696532	-1.617414	-0.08084904	0.05483474
CML91	3.0395672	-2.6827683	-0.3998608	0.7927895	0.50838506
CML92	2.4213483	-2.7627773	-1.9917227	0.84762686	-0.3580248
CMV3	0.1254631	2.5730267	-1.402822	0.8860595	0.2408302
CO106	0.28216463	2.3427324	-0.36198902	1.0563992	0.06309309
CO125	0.3492111	2.817079	0.3669625	0.85206234	1.9797968
CO255	1.1911813	2.5290098	1.3732758	0.72238797	3.939118
D940Y	2.9020264	1.1549797	0.36122927	-1.3740244	0.07814126
DE2	-0.20800093	2.9105852	0.23333697	0.50448805	-3.2742846
DE3	-1.4575756	2.1617916	0.04748408	0.117261305	-1.6509807
DE1	-0.06893986	2.7784357	0.42438337	1.0116755	-3.3807197
DE811	-5.2332735	0.8586821	-6.7967	-1.6865026	0.6226881
E2558W	1.561255	0.6862691	0.01474199	1.3432357	0.9327416
EP1	2.4863741	1.3959333	0.35308847	-0.36726317	3.7526805
F2834T	1.9445717	-2.4475636	-0.21903284	-0.73083234	1.3095548
F44	1.4405497	-0.4368896	0.049441576	0.10532571	2.038925
F6	0.44958964	1.9846109	1.1608435	0.97266436	0.9035434
F7	2.0681493	3.506617	0.30514708	-0.7903835	4.413031
GA209	1.3821592	2.0661533	1.2534341	0.8415354	0.16830772
GT112	2.6521184	1.0064847	1.5436963	-0.41412333	-1.0477383
H105W	-6.961568	0.39990425	-10.4278965	-2.1147258	0.8519074
H49	0.8016442	2.3958282	0.9204398	6.123931	-5.774302
H84	-4.682171	0.3395778	1.0572256	1.8007057	-0.8889695
H91	-10.967459	-0.22343476	-13.587646	-1.6871076	0.31117815
H95	0.1274162	4.772887	2.4188054	2.5284433	-3.4201164
H99	0.9451507	2.6617851	1.5732853	2.0252986	-1.3341753
HI27	1.5151614	-3.0385573	-4.6818995	-0.80399036	-0.2593286
HP301	1.0281366	3.2712517	3.1103125	0.12733889	13.940078
HY	-3.7118516	0.48994976	0.8518463	1.1051105	-0.30466378
I137TN	2.7676516	-0.4371973	0.28336102	-0.05016363	0.57653725
I205	-1.9905263	1.3027179	-0.17556874	1.1579039	-1.8880725
I29	0.42166638	1.2805775	0.6409074	0.65218407	4.5512695
IA2132	-0.62350756	5.4677896	1.8323551	-1.6316154	4.106816
IA5125	-0.06298661	4.3919196	0.7477971	0.20826754	2.5741246
IDS28	0.35775888	2.2926009	1.4108965	0.1635211	6.2464957
IDS69	0.49465764	3.368018	3.5827277	-0.53607696	13.792438
IDS91	1.1500579	3.2315004	3.6478431	-0.2555176	14.177397
IL101	-0.73397356	6.564385	0.8723125	-0.95156544	6.8477716
IL14H	-0.7757433	6.7844987	1.5252433	-1.5013032	7.1218214
IL677A	-0.8584277	5.755603	1.4974763	-0.8524997	5.6536007
K148	0.40288904	1.6635404	0.11083707	0.9305184	0.41693398
K4	0.012736203	1.3844864	0.6707865	1.6132772	-0.25737333
K55	-0.34847832	1.3799375	-0.36095244	-0.17018235	1.0529965
K64	0.56809497	2.0713258	0.70492136	1.6326118	0.885235
KI11	3.9990735	-3.3044593	-0.5179476	0.3850929	-0.07446597
KI14	5.437484	-3.3550458	-0.11847292	0.42037964	-0.8568634
KI2021	5.1324797	-2.9633598	0.09641963	-0.022850867	-0.88896346
KI21	3.3056195	-0.92455715	0.017079694	-2.4397504	-0.7670303
KI3	5.4559274	-4.688228	0.15107824	1.510658	-0.20311368
KI43	4.3400254	-2.3930607	0.17064472	0.5769161	0.13804892
KI44	4.515723	-3.1386795	0.53740174	0.14618462	-1.0599238
KY21	0.5347343	1.1505271	-0.89307684	0.018897269	1.1646857
KY226	1.0262357	-0.49008998	0.82274914	0.9174816	-1.2797784
KY228	0.78259546	2.0463405	-0.4526124	-0.024544692	1.204158
L317	1.4772773	2.7344646	-0.06527849	0.055877946	0.23288044
L578	2.1425543	-0.2652229	0.772821	-0.70555115	0.19632328
M14	-1.4855453	3.444554	0.40350276	1.3851804	-1.4935596
M162W	2.186916	0.51095986	0.32050002	2.2765837	1.5824224
M37W	2.938239	-0.45498592	-0.95243883	-0.09467034	0.39372054
MEF156-55-2	-0.11076494	5.3733773	1.5972345	0.29395542	4.2326345
MO17	1.130696	4.29742	1.1951542	-6.92484	-2.6051154
MO18W	3.3179903	-1.8701491	-0.8213376	2.1264873	-0.4506394
MO1W	0.8528422	2.2893472	0.087331824	5.8790517	-4.9635415
MO24W	2.5789106	0.4663978	1.3301568	-0.2903754	0.5493934
MO44	-1.3127555	2.8558729	-0.21818964	3.241798	-1.0380616
MO45	0.1631127	1.2445688	-0.53712404	-0.366211	0.65868
MO46	-0.43792325	0.7853873	-2.2001615	-0.5132854	-1.8688108
MO47	0.4329128	1.0812234	0.40552652	0.555148	-1.074985
MOG	1.501538	0.9504036	-0.82497585	-0.5082725	1.9019393
MP339	0.5092802	0.11135598	-0.39892516	-0.12749301	-0.20189033
MS1334	1.2823977	2.195449	-0.21083656	0.8194183	1.5883837
MS153	-1.5070858	4.0857363	0.40162855	0.9687761	0.44611964
MS71	-1.1325381	4.0295124	0.39610016	2.4039536	-0.7802222
MT42	-0.18279164	2.6128461	-0.07667933	0.24480414	2.357285
N192	-15.632319	-3.589942	0.3291976	-1.3333142	0.1522532
N28HT	-6.1466217	0.64731556	-0.9520344	0.7830104	-0.5888082
N6	0.0024205872	2.1395464	0.09630501	1.0753344	1.2722884
N7A	-3.229859	1.8492066	-2.7179172	0.5350974	-0.31510174
NC222	0.95279205	1.002443	0.41216215	-0.6899871	0.068427995
NC230	0.14553674	1.0971655	-0.6739613	-0.19486994	0.7509126
NC232	0.97621334	1.3754596	0.3205817	1.6776018	-1.8889174
NC236	0.49795693	2.8851795	-0.9284301	0.36288077	-0.2016351
NC238	1.4977193	1.4033445	1.6682744	-0.6245038	-1.2727921
NC250	-4.719103	-0.7466268	2.9626799	1.0488095	0.30465794
NC258	2.496693	5.2685227	1.8703719	-13.077195	-2.596478
NC260	-0.6507492	2.7946484	0.049503107	1.1469843	-1.198143
NC262	2.7624998	4.9756227	1.926087	-14.18081	-2.2941895
